PLAYER,TEAM,AGE,GAMES PLAYED,WINS,LOSSES,MINUTES PLAYED,POINTS,FIELD GOALS MADE,FIELD GOALS ATTEMPTED,FIELD GOAL %,3 POINT FIELD GOALS MADE,3 POINT FIELD GOALS ATTEMPTED,3 POINT FIELD GOALS %,FREE THROWS MADE,FREE THROWS ATTEMPTED,FREE THROW %,OFFENSIVE REBOUNDS,DEFENSIVE REBOUNDS,REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,PERSONAL FOULS,FANTASY POINTS,DOUBLE DOUBLES,TRIPLE DOUBLES,PLUS MINUS
Alex Len,ATL,25,23,5,18,20,9.8,3.7,7.5,50,0.7,1.9,34.1,1.7,2.6,64.4,1.8,3.4,5.2,0.9,1.6,0.3,0.9,3,19.6,3,0,-2.8
Alex Poythress,ATL,25,13,3,10,15,5,2,3.8,53.1,0.4,1.1,35.7,0.6,1.3,47.1,1.5,2.2,3.8,0.8,0.6,0.2,0.4,2.4,12,0,0,-5
Daniel Hamilton,ATL,23,2,0,2,6,1.5,0.5,2,25,0,0.5,0,0.5,1,50,0,0,0,0.5,0.5,0,0,0,1.8,0,0,-4
DeAndre' Bembry,ATL,24,25,5,20,23,8.4,3.2,7.7,40.9,0.8,2.4,31.7,1.3,2.1,60.4,0.6,3.8,4.4,2.5,1.6,1.4,0.6,2.3,21.9,1,0,-4.8
Dewayne Dedmon,ATL,29,19,4,15,21.8,7.8,3.1,6.9,43.9,0.6,2.3,25,1.1,1.3,87.5,1.2,5.5,6.7,0.8,1.2,1.1,1.2,3.2,22.6,2,0,-6.7
Jaylen Adams,ATL,22,4,1,3,3.2,0.8,0.3,1,25,0.3,1,25,0,0,0,0,0.5,0.5,0.3,0,0,0.3,0,2.5,0,0,2.3
Jeremy Lin,ATL,30,23,5,18,18.5,11,3.7,7.1,51.2,1.1,2.7,41.3,2.5,3,84.1,0.2,2.1,2.3,3.1,2,0.9,0.1,2,19.3,1,0,-2.7
John Collins,ATL,21,10,2,8,27.4,16.9,7.2,11.5,62.6,0.4,2.1,19,2.1,2.7,77.8,2.1,5.8,7.9,2.4,2.2,0.1,0.5,2.8,29.6,4,0,-2.6
Justin Anderson,ATL,25,8,1,7,8.7,4.9,1.9,4.4,42.9,0.1,1.6,7.7,1,1.1,88.9,0.5,0.8,1.3,0.5,0.4,0.6,0.1,1.3,9,0,0,1.5
Kent Bazemore,ATL,29,25,5,20,26.1,12.8,4.6,10.4,44.4,1.2,4.3,28.7,2.3,2.9,78.1,0.6,3.3,3.9,2.1,2,1.7,1,2.5,26.6,0,0,-7.8
Kevin Huerter,ATL,20,24,5,19,20.9,6.1,2.2,5.5,40.5,1.2,3,38.9,0.5,0.7,75,0.9,2.5,3.3,2.1,1,0.6,0.3,1.7,15.1,0,0,-1.8
Miles Plumlee,ATL,30,16,0,16,9.7,4.8,1.9,2.8,68.2,0,0,0,1,1.8,57.1,1,1.3,2.3,0.9,0.6,0.4,0.3,0.8,10.1,0,0,-2.7
Omari Spellman,ATL,21,22,5,17,18.2,6.3,2.2,5.8,38.6,0.9,2.7,31.7,1,1.3,75,1.9,2.5,4.5,1,0.7,0.8,0.6,1.5,16.6,3,0,-6.5
Taurean Prince,ATL,24,21,5,16,28.7,15,5.2,12.1,43.1,2.4,6.6,36.7,2.1,2.6,83.3,0.3,3.7,4,2.3,2.6,1.1,0.3,3,25.1,0,0,-8.5
Trae Young,ATL,20,25,5,20,29.2,15.7,5.6,14.8,37.7,1.4,5.7,23.9,3.2,4.1,78.4,0.5,2.4,2.8,7.3,4,0.7,0.3,1.4,29.1,7,0,-9.8
Tyler Dorsey,ATL,22,12,0,12,10.7,3.8,1.4,3.8,37,0.3,1.3,18.8,0.8,1.4,52.9,0.2,1.4,1.6,0.8,0.3,0.3,0,0.7,7.4,0,0,-0.3
Vince Carter,ATL,41,22,3,19,17.7,6.9,2.4,6.1,39.3,1.4,3.8,35.7,0.7,0.9,84.2,0.3,2.1,2.4,1,0.5,0.6,0.4,1.6,13.6,0,0,-3.5
Allen Crabbe,BKN,26,26,9,17,25.7,8.8,2.8,8.8,32.3,2.2,6,36.1,0.9,1.2,77.4,0.5,2.9,3.4,1,1.2,0.5,0.3,2.5,15.7,0,0,-1
Caris LeVert,BKN,24,14,6,8,29.7,18.4,6.9,14.6,47.5,1.4,4.4,31.1,3.1,4.4,72.1,1,3.3,4.3,3.7,2.1,1.2,0.4,2.4,31.6,0,0,-1.9
D'Angelo Russell,BKN,22,27,9,18,29.2,18.4,7.1,17.1,41.8,2.5,6.9,35.8,1.6,2.2,74.6,0.6,3.3,3.9,5.7,2.8,1.3,0.3,1.6,33.7,1,0,-2.7
DeMarre Carroll,BKN,32,16,4,12,22,8.9,2.5,7.3,34.5,1.3,3.9,32.3,2.6,3.2,82.4,1,4.2,5.2,0.8,1.2,0.4,0.1,1.6,16.5,1,0,-2.5
Dzanan Musa,BKN,19,7,3,4,3.7,1.7,0.9,2,42.9,0,0.9,0,0,0.3,0,0.1,0.3,0.4,0.1,0.4,0.3,0,0.1,2.9,0,0,0.4
Ed Davis,BKN,29,27,9,18,17,5.5,2.3,3.9,58.5,0,0,0,0.9,1.5,58.5,3.2,5.1,8.3,0.6,0.7,0.4,0.4,3,18.2,2,0,0.1
Jared Dudley,BKN,33,27,9,18,21.7,4.3,1.6,4.2,37.2,0.8,2.6,29.6,0.4,0.6,68.8,0.6,2,2.6,1.4,0.9,0.5,0.3,2.6,11,0,0,-0.7
Jarrett Allen,BKN,20,25,9,16,28.3,12.3,4.7,8,58.8,0.1,0.8,15,2.8,4,70.7,3,5.4,8.4,1.7,1.5,0.6,1.4,2.6,29.4,10,0,-0.8
Joe Harris,BKN,27,24,9,15,29.7,12.8,4.6,9.6,48.3,2.3,5.1,44.7,1.3,1.6,81.6,0.8,2.9,3.8,2.2,1.4,0.6,0.1,3.2,21.4,0,0,0
Kenneth Faried,BKN,29,8,2,6,5.6,3.1,1.4,1.8,78.6,0,0,0,0.4,0.9,42.9,0.9,1.1,2,0,0.4,0.1,0.1,0.3,5.9,0,0,-0.6
Rodions Kurucs,BKN,20,10,4,6,12.4,7.2,2.9,5.8,50,0.6,2.2,27.3,0.8,0.8,100,1.1,2.2,3.3,0.1,0.8,0.3,0,1.4,11.4,0,0,3
Rondae Hollis-Jefferson,BKN,23,23,7,16,23.5,9.5,3.6,9,40.3,0.2,1,18.2,2.1,3.3,63.2,1.6,4.3,5.9,1.6,1.1,0.7,0.4,1.9,21.2,1,0,-2.1
Shabazz Napier,BKN,27,22,6,16,15.4,7.9,2.5,6.6,37.7,1,2.8,37.1,1.9,2.2,83.7,0.4,1.3,1.7,1.5,0.9,0.7,0.3,1.3,14.4,0,0,-0.8
Spencer Dinwiddie,BKN,25,27,9,18,28.6,15.8,5.4,11.7,46.1,1.9,5.4,35.6,3,3.9,77.4,0.6,1.9,2.5,4.9,2.1,0.6,0.4,3.2,26.9,0,0,-2.8
Theo Pinson,BKN,23,3,1,2,4.9,0.7,0,1,0,0,0.7,0,0.7,0.7,100,0,0.3,0.3,1.3,0,0,0,0,3.1,0,0,-0.7
Treveon Graham,BKN,25,2,1,1,13.6,0,0,1.5,0,0,1,0,0,0,0,0.5,1.5,2,0.5,1,0.5,0,2.5,3.7,0,0,3.5
Al Horford,BOS,32,22,12,10,30,12.4,5.1,10.4,49.1,1.3,3.7,34.1,1,1.4,70,1.5,4.8,6.4,3.4,1.5,0.8,1.7,1.9,31.1,2,0,1.3
Aron Baynes,BOS,31,21,12,9,14.5,5.5,1.8,4.3,41.8,0.5,1.7,31.4,1.3,1.5,87.5,1.6,2.8,4.4,1.2,0.7,0.2,0.5,2.4,14.1,0,0,2.8
Brad Wanamaker,BOS,29,7,6,1,6.1,3.1,1,2.1,46.7,0.4,0.7,60,0.7,0.9,83.3,0,0.7,0.7,1.1,0.6,0.1,0,0.1,5.6,0,0,0.1
Daniel Theis,BOS,26,14,9,5,11.9,5.2,2.3,3.9,58.2,0.3,0.8,36.4,0.4,0.6,55.6,1.1,1.6,2.6,0.7,0.8,0.1,0.4,2.8,10,0,0,3.9
Gordon Hayward,BOS,28,22,13,9,26.7,11,3.8,9.1,41.8,1.3,3.8,33.7,2.1,2.4,88.7,1,4.5,5.5,3.5,1.4,1.2,0.3,1.5,25.9,0,0,3.7
Guerschon Yabusele,BOS,22,13,10,3,4.6,1.8,0.5,1.8,30.4,0.2,0.7,22.2,0.5,0.6,87.5,0.4,0.7,1.1,0.2,0.1,0.2,0.1,0.7,4.3,0,0,-0.2
Jaylen Brown,BOS,22,20,10,10,27.9,11.6,4.5,10.8,41.2,1,3.9,24.7,1.8,2.7,64.8,1.1,3,4.1,1.3,1.4,0.6,0.6,2.6,20.5,0,0,-0.4
Jayson Tatum,BOS,20,24,14,10,31.3,16.4,5.9,13.1,45.2,1.8,4.5,40.7,2.7,3.2,84.4,1.3,5.2,6.5,1.9,1.5,1.1,0.5,2.4,30.3,1,0,4.5
Kyrie Irving,BOS,26,23,14,9,32.1,22.2,8.6,17.7,48.5,2.6,6.7,39.2,2.5,3,81.4,1.2,3.6,4.7,6.4,2.6,1.7,0.5,2.4,41.5,4,0,5.3
Marcus Morris,BOS,29,23,13,10,26.6,13.8,5,10.4,48.1,2,4.9,41.6,1.8,2,87.2,0.7,5.5,6.2,1.3,1.7,0.6,0.1,2.8,23.9,3,0,1.8
Marcus Smart,BOS,24,24,14,10,24.3,6.5,2.1,5.5,38.9,1,3.3,31.3,1.3,1.6,76.9,0.7,1.9,2.6,4.1,1.3,1.5,0.5,2.6,20.5,1,0,2.8
PJ Dozier,BOS,22,1,1,0,5.8,7,3,5,60,1,1,100,0,0,0,2,2,4,0,0,0,0,1,11.8,0,0,8
Robert Williams III,BOS,21,9,7,2,3.7,1.4,0.7,0.9,75,0,0,0,0.1,0.2,50,0.4,0.8,1.2,0.1,0,0,0.7,0.8,5.1,0,0,-1.1
Semi Ojeleye,BOS,24,17,12,5,10.1,2.6,1,2.5,40.5,0.4,1.3,31.8,0.2,0.4,42.9,0.4,1.1,1.5,0.1,0.4,0.2,0.1,0.5,4.8,0,0,3.1
Terry Rozier,BOS,24,24,14,10,22.3,8.3,3.1,8.1,37.9,1.3,3.7,36.4,0.8,1.2,71.4,0.3,3.7,4,2.3,0.7,0.7,0.3,1.7,18.7,0,0,1.8
Bismack Biyombo,CHA,26,10,3,7,7.7,1.8,0.7,1.2,58.3,0,0,0,0.4,0.9,44.4,0.5,1.3,1.8,0.2,0.4,0.1,0.9,1.7,6.9,0,0,-4.4
Cody Zeller,CHA,26,24,12,12,24.2,9.3,3.7,6.5,56.4,0.1,0.4,30,1.8,2.1,86,1.8,3.5,5.4,2,1.2,0.8,0.7,3.2,21.9,0,0,1.6
Devonte' Graham,CHA,23,10,2,8,8.5,2.4,1,2.5,40,0.4,1.5,26.7,0,0,0,0,0.7,0.7,1.3,0.5,0.3,0,0.6,5.6,0,0,-0.7
Dwayne Bacon,CHA,23,15,8,7,12.6,5.5,2.1,4.4,48.5,0.6,1.2,50,0.7,0.8,83.3,0.1,1.6,1.7,0.9,0.5,0.2,0,1.5,9,0,0,1.1
Frank Kaminsky,CHA,25,14,7,7,13,6.7,2.4,5,48.6,0.8,2.2,35.5,1.1,1.4,75,0.7,2.4,3.1,1.2,0.9,0.3,0.2,1.4,12.9,0,0,2.4
Jeremy Lamb,CHA,26,25,12,13,28,15,5.4,12,44.8,1.5,4,37.4,2.8,3.1,88.5,0.8,4.8,5.6,1.8,0.9,1.3,0.3,2.3,28.4,2,0,0
Kemba Walker,CHA,28,25,12,13,34.9,25.8,8.6,19.7,43.8,3.2,9,35.4,5.4,6.5,82.2,0.4,4,4.3,6.2,2.6,1.3,0.4,1.8,42.8,1,0,1.8
Malik Monk,CHA,20,24,12,12,19.6,10.5,3.6,9.6,37.2,1.7,5.4,31.8,1.7,1.8,90.9,0.2,1.4,1.6,2,1.2,0.6,0.3,1.6,17,0,0,1.3
Marvin Williams,CHA,32,24,12,12,25.2,8.6,3.2,7.6,41.8,1.6,4.6,34.5,0.7,1.1,61.5,0.9,4.4,5.3,1,0.6,0.8,0.7,1.8,20.3,3,0,2.8
Michael Kidd-Gilchrist,CHA,25,19,10,9,20,8.6,3.3,6.7,49.2,0.3,0.8,40,1.6,2.2,75.6,2.1,3.5,5.5,1.1,0.6,0.4,1.2,2.9,21,1,0,2.9
Miles Bridges,CHA,20,24,11,13,20.4,7.9,3.1,6.3,49.7,1,2.7,35.9,0.7,1,70.8,0.7,3.3,4,1,0.5,0.7,0.8,1.4,18,0,0,1.3
Nicolas Batum,CHA,29,25,12,13,30.3,9.2,3.5,7.8,44.6,1.2,3.4,36.5,1,1.1,85.7,1.2,4.3,5.5,3.4,1.8,0.9,0.5,1.6,23.3,0,0,1.8
Tony Parker,CHA,36,22,12,10,19.7,10,4,8.8,46.1,0.3,1.1,28,1.6,2.3,68.6,0.3,1.5,1.7,4.5,1.2,0.4,0.1,0.8,19.2,1,0,3.1
Willy Hernangomez,CHA,24,18,9,9,12.8,7.1,2.4,4.5,53.1,0.6,1,61.1,1.7,2.2,76.9,1.9,2.8,4.7,0.8,0.8,0.4,0.5,1.9,16,0,0,-0.6
Antonio Blakeney,CHI,22,23,5,18,17,9.7,3.8,8.7,44,1.1,2.5,44.8,0.9,1.4,63.6,0.2,1.8,2,0.5,0.9,0.3,0.2,0.8,13.4,0,0,-3
Bobby Portis,CHI,23,4,1,3,28.2,10.5,4.3,10.3,41.5,0.8,2.8,27.3,1.3,2.3,55.6,1.5,8.5,10,2,1.3,0.5,1,3.5,28.8,1,0,-0.5
Cameron Payne,CHI,24,24,5,19,18.5,6.1,2.3,5.8,39.9,0.6,2.2,28.8,0.9,1,88,0.4,1.4,1.8,2.9,1.1,0.7,0.2,1.7,14.1,0,0,-6.9
Chandler Hutchison,CHI,22,22,5,17,18.2,4.4,1.7,4.1,42.2,0.2,1,22.7,0.7,1.1,60,0.7,3.3,4,0.7,0.7,0.6,0.2,1.4,11.8,0,0,-1.5
Cristiano Felicio,CHI,26,18,4,14,12.4,3.6,1.4,2.4,56.8,0,0.1,0,0.8,1,77.8,0.9,2.6,3.5,0.6,0.7,0.1,0.1,1.2,8.6,0,0,-2.3
Jabari Parker,CHI,23,26,6,20,31.7,16.4,6.5,14.3,45.6,1,3.5,28.6,2.3,3.3,71.8,1.3,6.1,7.4,2.4,2.7,0.7,0.4,2.4,29.4,5,0,-5.7
Justin Holiday,CHI,29,26,6,20,35.5,12.8,4.5,10.7,42.1,3,7.6,39.9,0.8,0.9,87.5,0.5,4.1,4.7,2.5,1.1,1.8,0.5,2.1,27.9,2,0,-9.4
Kris Dunn,CHI,24,1,0,1,30.3,9,4,13,30.8,1,4,25,0,0,0,0,4,4,7,4,0,0,6,20.3,0,0,-1
Lauri Markkanen,CHI,21,3,1,2,28.7,18.3,6.7,16.7,40,3.7,9,40.7,1.3,1.7,80,1.7,5.3,7,1,1.7,2,1,3.7,35.6,1,0,-4.3
Robin Lopez,CHI,30,19,4,15,16.9,5.5,2.5,4.6,53.4,0.1,0.4,25,0.4,0.6,66.7,1,1.1,2.1,1.2,1.3,0.2,0.9,2.1,11.7,0,0,-2.3
Ryan Arcidiacono,CHI,24,25,6,19,28.8,7.5,2.6,5.8,44.1,1.7,4.2,41.3,0.7,0.8,81,0.1,2.5,2.6,3.8,1,1,0,2.6,18.5,0,0,-2.6
Shaquille Harrison,CHI,25,17,4,13,16,5.4,1.9,4.9,38.1,0.2,1.4,17.4,1.4,2.2,63.2,0.4,2.5,2.9,1.9,0.8,1.6,0.3,1.4,16.6,0,0,-3.6
Tyler Ulis,CHI,22,1,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wendell Carter Jr.,CHI,19,26,6,20,25.7,11.2,4.3,9.2,46.9,0.2,0.9,20.8,2.4,3,80.8,2,5.2,7.2,2.2,1.6,0.6,1.6,3.5,28.1,5,0,-5.7
Zach LaVine,CHI,23,25,6,19,35.8,24.5,8.6,19.5,44.1,1.7,5.4,31.1,5.6,6.4,87,0.4,4.8,5.1,5,4,1,0.6,2.2,39,1,0,-5.4
Alec Burks,CLE,27,22,9,13,18.6,9.8,3.2,8,40.6,1,3,33.8,2.3,2.7,86.4,0.2,2.3,2.5,1.6,1,0.5,0.2,1.2,16.2,0,0,-1.5
Ante Zizic,CLE,21,18,3,15,8.9,3.4,1.3,2.6,50,0,0,0,0.8,1.3,62.5,1.1,1.8,2.9,0.3,0.9,0.1,0.1,1.2,6.9,0,0,-1.2
Cedi Osman,CLE,23,23,4,19,31.8,11.4,4,10.8,36.9,1.5,4.9,31.3,1.9,2.3,81.1,0.6,4.6,5.2,2.4,1.9,0.8,0.3,2.4,22.7,3,0,-9.6
Channing Frye,CLE,35,7,1,6,6.9,2.4,0.9,1.6,54.5,0.7,1,71.4,0,0,0,0,1.7,1.7,0.1,0.4,0.1,0.1,0.9,5.1,0,0,-1.6
Collin Sexton,CLE,19,25,5,20,29.4,15.1,6,13.2,45,0.7,1.6,43.9,2.5,2.8,88.6,0.6,2.4,3.1,2.5,2.2,0.4,0.1,2.4,21.9,1,0,-7.7
David Nwaba,CLE,25,14,4,10,17.3,6.1,2,4.7,42.4,0.4,1.6,22.7,1.8,2.6,67.6,0.5,2.2,2.7,0.6,0.4,0.7,0.4,1.6,13.4,0,0,1.9
JR Smith,CLE,33,11,1,10,20.2,6.7,2.5,7.2,34.2,1.1,3.5,30.8,0.7,0.9,80,0,1.6,1.6,1.9,1,1,0.3,1.7,14.4,0,0,-1.3
Jalen Jones,CLE,25,3,1,2,3.8,0.7,0.3,1,33.3,0,0,0,0,0,0,0,0.7,0.7,0.7,0,0,0,0,2.5,0,0,2.7
Jaron Blossomgame,CLE,25,2,0,2,9.9,1,0.5,2,25,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,1.1,0,0,-1
John Henson,CLE,27,14,10,4,13.5,5.6,2.2,4.8,46.3,0.8,2.2,35.5,0.4,0.7,60,1.1,3.9,5.1,1,0.9,0.5,0.8,1.1,16.2,0,0,0.1
John Holland,CLE,30,1,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jordan Clarkson,CLE,26,25,5,20,25.3,16.6,6.6,14.6,45.4,1.6,4.7,33.1,1.8,2.1,84.9,1.1,2.2,3.3,2,1.6,0.6,0.2,1.8,24.5,1,0,-5
Kevin Love,CLE,30,4,0,4,33.9,19,5.3,16.3,32.3,1.8,6,29.2,6.8,8.3,81.8,2.5,11,13.5,3.5,2.5,0.3,0.3,3.5,39.5,3,0,-8.5
Larry Nance Jr.,CLE,25,23,5,18,23.4,7.5,2.9,5.7,51.5,0.3,0.8,38.9,1.4,2,69.6,1.8,4.8,6.7,2.4,1.2,1.1,0.6,2.7,23,1,0,-7.3
Matthew Dellavedova,CLE,28,12,10,2,8.1,1.7,0.5,1.6,31.6,0.3,0.9,36.4,0.3,0.3,100,0,0.8,0.8,2.4,0.9,0.2,0,0.8,5.9,0,0,-1.1
Rodney Hood,CLE,26,25,5,20,28.5,12.8,4.6,10.7,43.4,1.2,3.2,37,2.3,2.5,90.5,0.4,1.9,2.3,2.1,1,0.8,0.1,2.6,20.3,0,0,-4.4
Tristan Thompson,CLE,27,25,5,20,30.4,11.5,5,9.2,53.7,0,0,0,1.6,2.6,61.5,5,6.6,11.6,2.1,1.6,0.8,0.4,2.4,30.5,14,0,-4.6
Daryl Macon,DAL,23,1,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
DeAndre Jordan,DAL,30,23,12,11,31.5,11.1,4,6.5,61.7,0,0,0,3.1,4.1,75.8,2.6,10.9,13.5,2.2,2.4,0.6,1,2.7,33.1,14,0,-1.5
Dennis Smith Jr.,DAL,21,20,11,9,28.4,13.5,5.1,11.6,44,1.4,3.9,35.9,1.9,2.9,66.7,0.6,2.2,2.8,4.2,3.2,1.2,0.5,2.6,25.1,0,0,-2.9
Devin Harris,DAL,35,13,9,4,15.3,7,2.2,5.2,42.6,1.1,3.2,34.1,1.5,2,73.1,0.2,1.8,1.9,1.2,0.6,0.9,0.3,1.7,14.2,0,0,2.2
Dorian Finney-Smith,DAL,25,23,12,11,27,8.7,3.3,6.9,47.2,1.4,3.6,39.8,0.8,1.3,60,1.8,2.4,4.3,0.8,1,1.2,0.5,3,19.1,0,0,0
Dwight Powell,DAL,27,20,10,10,16.5,9.2,3.2,5.2,61.2,0.4,1.5,23.3,2.6,3.3,78.5,1.3,3.1,4.4,1,0.9,0.7,0.7,2.8,18.9,1,0,3.4
Harrison Barnes,DAL,26,19,10,9,31.6,17.8,6,14.6,41.2,2.3,5.7,39.4,3.5,4.5,78.8,0.9,3.7,4.6,1.3,1.7,0.8,0.3,1.9,26.9,1,0,-4.3
J.J. Barea,DAL,34,22,12,10,19.8,11.5,4.5,10.4,43.4,0.9,3.1,29.4,1.6,2.3,70,0.4,2,2.4,5.7,1.7,0.7,0,1.4,23.6,3,0,3.6
Jalen Brunson,DAL,22,20,9,11,12.7,4.4,1.8,4.3,41.2,0.4,1.5,26.7,0.5,0.8,56.3,0.2,1.1,1.3,1.6,0.6,0.5,0,1.1,9,0,0,0.9
Luka Doncic,DAL,19,22,11,11,32.6,18.1,6.2,14.2,43.8,2.3,6,38.2,3.4,4.3,78.7,1,5.5,6.5,4.3,3.6,1,0.4,2.1,32.8,1,0,-0.3
Maxi Kleber,DAL,26,21,11,10,18.7,6.5,2.4,5.4,43.9,1,3.1,30.3,0.8,1,76.2,1.3,2.5,3.8,0.7,0.6,0.5,1.3,1.5,16.9,0,0,5.2
Ray Spalding,DAL,21,1,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Ryan Broekhoff,DAL,28,12,6,6,4.8,1.7,0.6,1.6,36.8,0.4,1.3,31.3,0.1,0.1,100,0.1,0.8,0.8,0.1,0.1,0,0.1,0.2,3,0,0,1.3
Salah Mejri,DAL,32,8,6,2,6.1,2,0.8,1.3,60,0,0.1,0,0.5,0.5,100,0.6,1.9,2.5,0.4,0.4,0,0.1,1,5.6,0,0,3
Wesley Matthews,DAL,32,19,9,10,31.2,15.5,5.3,11.9,44.2,2.5,6.4,38.8,2.5,3.2,78.3,0.5,2.1,2.6,2.4,1.2,0.8,0.2,2.3,24.1,0,0,-2.3
DeVaughn Akoon-Purcell,DEN,25,6,6,0,3.5,1.2,0.5,1.7,30,0,0.7,0,0.2,0.3,50,0.2,0.5,0.7,1,0.2,0.3,0,0.7,4.3,0,0,0.2
Gary Harris,DEN,24,21,14,7,32.3,16.6,6.2,14.1,43.9,1.7,5.3,32.4,2.5,3.2,79.1,0.7,2.5,3.2,2.9,1.2,1.2,0.4,2.2,28.4,0,0,5
